,PC1,PC2,labels,name
ERR12074386,6.368756,11.419274,Sediment,ERR12074386
SRR14842409,-5.0102863,-3.6069453,Canis_familiaris,SRR14842409
SRR1952418,9.688137,-4.781403,Homo_sapiens,SRR1952418
SRR1952344,14.433237,-13.927868,Homo_sapiens,SRR1952344
SRR14842359,-10.58088,-4.970031,Canis_familiaris,SRR14842359
SRR14842406,-4.555918,-5.0419426,Canis_familiaris,SRR14842406
SRR14842324,-5.6860566,-9.091628,Canis_familiaris,SRR14842324
SRR2175777,9.165686,-7.171012,Homo_sapiens,SRR2175777
SRR14842335,-3.2895362,5.1036997,Canis_familiaris,SRR14842335
ERR1560094,3.1272004,15.448422,Sediment,ERR1560094
SRR14842410,-4.8129735,-2.04589,Canis_familiaris,SRR14842410
SRR14842363,-14.082004,2.7492568,Canis_familiaris,SRR14842363
SRR14842401,-10.561985,-9.393341,Canis_familiaris,SRR14842401
SRR14842364,-8.70783,-8.954792,Canis_familiaris,SRR14842364
SRR14842382,-8.990368,-4.278792,Canis_familiaris,SRR14842382
SRR14842328,-0.7712533,0.9799022,Canis_familiaris,SRR14842328
SRR14842346,0.6343766,1.1886563,Canis_familiaris,SRR14842346
ERR12814470,-1.2744447,19.313211,Sediment,ERR12814470
SRR14842343,-1.0993488,-4.0639467,Canis_familiaris,SRR14842343
SRR14842414,-12.705024,-8.12826,Canis_familiaris,SRR14842414
SRR14842342,-4.395842,4.522627,Canis_familiaris,SRR14842342
MS11679_kraken_2024-standard_conf0,2.2273927,6.876058,known,MS11679_kraken_2024-standard_conf0
MS11669_kraken_2024-standard_conf0,2.350686,9.823542,known,MS11669_kraken_2024-standard_conf0
MS11774_kraken_2024-standard_conf0,5.0919547,6.7460704,known,MS11774_kraken_2024-standard_conf0
MS11675_kraken_2024-standard_conf0,4.9694486,4.837006,known,MS11675_kraken_2024-standard_conf0
MS11683_kraken_2024-standard_conf0,2.2230005,6.977889,known,MS11683_kraken_2024-standard_conf0
MS11686_kraken_2024-standard_conf0,3.6599002,7.2064486,known,MS11686_kraken_2024-standard_conf0
MS11673_kraken_2024-standard_conf0,5.337544,15.555529,known,MS11673_kraken_2024-standard_conf0
MS11771_kraken_2024-standard_conf0,4.0058503,9.566287,known,MS11771_kraken_2024-standard_conf0
MS11775_kraken_2024-standard_conf0,5.366124,-2.8597775,known,MS11775_kraken_2024-standard_conf0
MS11677_kraken_2024-standard_conf0,3.9678233,7.0012274,known,MS11677_kraken_2024-standard_conf0
MS11670_kraken_2024-standard_conf0,5.7673783,8.568485,known,MS11670_kraken_2024-standard_conf0
MS11770_kraken_2024-standard_conf0,2.937902,8.997605,known,MS11770_kraken_2024-standard_conf0
MS11676_kraken_2024-standard_conf0,5.169904,8.214308,known,MS11676_kraken_2024-standard_conf0
MS11674_kraken_2024-standard_conf0,4.890209,8.882712,known,MS11674_kraken_2024-standard_conf0
MS11684_kraken_2024-standard_conf0,3.2657015,8.538406,known,MS11684_kraken_2024-standard_conf0
MS11678_kraken_2024-standard_conf0,5.857884,7.169871,known,MS11678_kraken_2024-standard_conf0
