Individual,PC1,PC2,PC3,PC4,Population,Population2
ChinaVilLijiang:VillDog_China30,0.0139,0.0039,-0.0729,-0.0059,ChinaVillage,ChinaVilLijiang
ChinaVilLijiang:VillDog_China38,0.0116,0.0043,-0.067,-0.0061,ChinaVillage,ChinaVilLijiang
ChinaVilLijiang:VillDog_China32,0.0077,0.0029,-0.0599,-0.005,ChinaVillage,ChinaVilLijiang
ChinaVilShanxi:ChinaIndDog15,0.0035,0.0007,-0.0448,-0.0035,ChinaVillage,ChinaVilShanxi
ChinaVilShanxi:ChinaIndDog08,0.0023,0.0003,-0.0457,-0.0034,ChinaVillage,ChinaVilShanxi
ChinaVilShanxi:ChinaIndDog09,-0.0043,0,-0.031,-0.0026,ChinaVillage,ChinaVilShanxi
ChinaVilShanxi:ChinaIndDog10,-0.0052,0.0007,-0.0309,-0.0026,ChinaVillage,ChinaVilShanxi
ChinaVilXinjiang:ChinaIndDog11,0.0015,-0.0008,-0.0319,-0.0025,ChinaVillage,ChinaVilXinjiang
ChinaVilYingjiang:VillDog_China20,0.0166,0.005,-0.0858,-0.0067,ChinaVillage,ChinaVilYingjiang
ChinaVilYingjiang:VillDog_China29,0.0165,0.0039,-0.0868,-0.0061,ChinaVillage,ChinaVilYingjiang
ChinaVilYingjiang:VillDog_China27,0.013,0.0047,-0.0782,-0.0063,ChinaVillage,ChinaVilYingjiang
ChinaVilYingjiang:VillDog_China28,0.0106,0.0037,-0.0718,-0.0056,ChinaVillage,ChinaVilYingjiang
ChinaVilYunnan:ChinaIndDog12,0.0199,0.0027,-0.0999,-0.0062,ChinaVillage,ChinaVilYunnan
ChinaVilYunnan:ChinaIndDog13,0.0183,0.0025,-0.0949,-0.0059,ChinaVillage,ChinaVilYunnan
ChineseCrested:ChineseCrested05,-0.0209,-0.0003,0.0075,-0.0009,ChinaVillage,ChineseCrested
ChineseCrested:ChineseCrested01,-0.0218,-0.0008,0.0084,-0.0007,ChinaVillage,ChineseCrested
Chinook:Chinook01,-0.0196,-0.0002,0.0004,-0.0014,Breed,Chinook
ChongqingDog:ChongqingDog01,0.012,0.003,-0.0933,-0.0059,Breed,ChongqingDog
ChowChow:ChowChow02,0.0205,0.0023,-0.1362,-0.0084,Breed,ChowChow
ChowChow:CW011,0.018,0.0027,-0.128,-0.0077,Breed,ChowChow
ChowChow:ChowChow01,0.0133,0.0029,-0.0996,-0.0062,Breed,ChowChow
ChowChow:ChowChow03,0.0111,0.0025,-0.0989,-0.0061,Breed,ChowChow
ClumberSpaniel:ClumberSpaniel01,-0.0245,-0.0008,0.0121,-0.0007,Breed,ClumberSpaniel
CockerSpanielAmerican:ACockerSpaniel01,-0.0244,-0.0012,0.0132,-0.0008,Breed,CockerSpanielAmerican
CockerSpanielAmerican:ACockerSpaniel03,-0.0246,-0.0008,0.0146,-0.0009,Breed,CockerSpanielAmerican
CockerSpanielAmerican:ACockerSpaniel04,-0.0249,-0.0006,0.0148,-0.0011,Breed,CockerSpanielAmerican
CockerSpanielAmerican:ACockerSpaniel06,-0.0251,-0.0006,0.0149,-0.0011,Breed,CockerSpanielAmerican
Coonhound:Coonhound01,-0.0233,-0.001,0.0101,-0.0008,Breed,Coonhound
CurlyCoatedRetriever:CR039,-0.0239,-0.0012,0.0119,-0.0007,Breed,CurlyCoatedRetriever
Dachshund:CFA.109668,-0.0223,-0.0022,0.0134,-0.0007,Breed,Dachshund
Dachshund:CFA.107835,-0.0226,-0.0024,0.0125,-0.0008,Breed,Dachshund
Dachshund:DH0117,-0.0229,-0.0018,0.0131,-0.0008,Breed,Dachshund
Dachshund:DH126,-0.0233,-0.0015,0.0123,-0.0007,Breed,Dachshund
Dalmatian:Dalmatian01,-0.0233,-0.0005,0.0118,-0.001,Breed,Dalmatian
Dalmatian:DAL162K1,-0.0236,-0.0009,0.0129,-0.0008,Breed,Dalmatian
Dingo:Dingo01,0.0232,0.0059,-0.1511,-0.0093,Dingo,Dingo
Dingo_ancient:A19058_ph,0.0384,0.0095,-0.1725,-0.0087,Dingo_ancient,Dingo_ancient
Dingo_ancient:D13_ph,0.0366,0.0129,-0.1717,-0.0101,Dingo_ancient,Dingo_ancient
Dingo_ancient:D16_ph,0.0359,0.0088,-0.1758,-0.0092,Dingo_ancient,Dingo_ancient
Dingo_ancient:A19053_ph,0.0349,0.0085,-0.169,-0.0093,Dingo_ancient,Dingo_ancient
DobermanPinscher:Doberman02,-0.023,-0.0013,0.0127,-0.0008,Breed,DobermanPinscher
DobermanPinscher:Doberman04,-0.0232,-0.0009,0.0115,-0.0007,Breed,DobermanPinscher
DobermanPinscher:Doberman01,-0.0233,-0.0012,0.0127,-0.0008,Breed,DobermanPinscher
DobermanPinscher:DO242,-0.0234,-0.001,0.013,-0.0009,Breed,DobermanPinscher
DuckTollingRet:DuckTollingRet01,-0.0221,-0.001,0.0099,-0.0011,Breed,DuckTollingRet
EastSiberianLaika:SiberianLaika01,-0.0068,-0.0004,-0.0238,-0.0024,Breed,EastSiberianLaika
EgyptVillage:VillDog_Egypt02,-0.0068,-0.0025,-0.0053,-0.0009,Breed,EgyptVillage
EgyptVillage:VillDog_Egypt01,-0.0074,-0.0022,-0.0052,-0.0007,Breed,EgyptVillage
EnglishCockerSpaniel:ECockerSpaniel01,-0.0249,-0.0008,0.0137,-0.001,Breed,EnglishCockerSpaniel
