Individual,PC1,PC2,PC3,PC4,Population,Population2
EnglishCockerSpaniel:ECockerSpaniel01,-0.0205,0.0211,-0.0003,0.0003,Breed,EnglishCockerSpaniel
EnglishCockerSpaniel:ECockerSpaniel03,-0.0208,0.0198,-0.0004,0.0005,Breed,EnglishCockerSpaniel
EnglishCockerSpaniel:ECockerSpaniel05,-0.0208,0.0205,0.0006,-0.0005,Breed,EnglishCockerSpaniel
EnglishMastiff:EnglishMastiff01,-0.0196,0.0193,0.0046,0.0013,Breed,EnglishMastiff
EnglishMastiff:EnglishMastiff02,-0.0192,0.0182,0.0015,0.0003,Breed,EnglishMastiff
EnglishPointer:EnglishPointer01,-0.0187,0.0152,-0.0021,0.0002,Breed,EnglishPointer
EnglishPointer:EnglishPointer02,-0.02,0.0167,-0.0022,0.0016,Breed,EnglishPointer
EnglishSetter:CFA.105990,-0.0211,0.0204,-0.0013,0.0007,Breed,EnglishSetter
EnglishSetter:CFA.117996,-0.0213,0.0213,-0.0016,-0.0003,Breed,EnglishSetter
EnglishSetter:EnglishSetter01,-0.02,0.0184,-0.001,0.0003,Breed,EnglishSetter
EnglishSpringerSpaniel:SpringerSpan01,-0.0204,0.0191,0.0012,0.0002,Breed,EnglishSpringerSpaniel
EnglishSpringerSpaniel:SpringerSpan03,-0.0188,0.0175,-0.0002,0.0017,Breed,EnglishSpringerSpaniel
EntlebucherSennenhund:Entlebucher01,-0.0192,0.0195,0.0026,0,Breed,EntlebucherSennenhund
EntlebucherSennenhund:Entlebucher02,-0.0187,0.0175,0.002,0.0007,Breed,EntlebucherSennenhund
EntlebucherSennenhund:Entlebucher06,-0.0187,0.0189,0.0031,0.0002,Breed,EntlebucherSennenhund
EntlebucherSennenhund:Entlebucher08,-0.0185,0.0179,0.0027,-0.0002,Breed,EntlebucherSennenhund
FieldSpaniel:CFA.107833,-0.0204,0.0195,-0.0004,-0.0012,Breed,FieldSpaniel
FinnishLapphund:FinnishLapphund01,-0.0036,-0.0081,0.0083,-0.0034,Breed,FinnishLapphund
FlatCoatedRetriever:FlatcoatedRet01,-0.0206,0.023,0.0024,0.0003,Breed,FlatCoatedRetriever
FlatCoatedRetriever:FlatcoatedRet02,-0.0201,0.0223,0.0023,0.0001,Breed,FlatCoatedRetriever
FlatCoatedRetriever:FlatcoatedRet03,-0.02,0.0227,0.0034,-0.0013,Breed,FlatCoatedRetriever
FonnisDog:FonniDog01,-0.0154,0.0079,-0.0027,-0.001,Breed,FonnisDog
FrenchBulldog:FB065,-0.0216,0.024,0.0028,-0.0013,Breed,FrenchBulldog
FrenchBulldog:FrenchBulldog01,-0.0213,0.0228,0.0024,-0.0003,Breed,FrenchBulldog
GermanHuntingTerrier:JT007,-0.021,0.021,0.0026,-0.0011,Breed,GermanHuntingTerrier
GermanShepherdDog:DS051,-0.0189,0.0163,0.0025,-0.0039,Breed,GermanShepherdDog
GermanShepherdDog:DS053,-0.0194,0.0171,0.004,-0.0032,Breed,GermanShepherdDog
GermanShepherdDog:GermanShepherd10,-0.0185,0.014,0.0043,0.001,Breed,GermanShepherdDog
GermanShepherdDog:GermanShepherd12,-0.0189,0.0149,0.003,-0.0013,Breed,GermanShepherdDog
GermanWirehairedPointer:GermanWire01,-0.0188,0.0157,-0.001,0.0003,Breed,GermanWirehairedPointer
GoldenRetriever:GoldenRetriever02,-0.0187,0.0165,0.002,0.0046,Breed,GoldenRetriever
GoldenRetriever:GoldenRetriever03,-0.0197,0.0178,0.0032,0.0043,Breed,GoldenRetriever
GoldenRetriever:GoldenRetriever05,-0.0205,0.0193,0.0016,0.0025,Breed,GoldenRetriever
GoldenRetriever:GoldenRetriever11,-0.0203,0.0195,0.0011,0.0026,Breed,GoldenRetriever
GordonSetter:CFA.109672,-0.02,0.0182,-0.0018,-0.0013,Breed,GordonSetter
GordonSetter:GordonSetter01,-0.02,0.018,-0.0011,-0.0004,Breed,GordonSetter
GreatDane:CFA.107837,-0.0201,0.0196,-0.0004,-0.0022,Breed,GreatDane
GreatDane:CFA.117997,-0.0195,0.0179,0,-0.0013,Breed,GreatDane
GreatDane:DD116,-0.0203,0.0186,-0.0001,-0.0009,Breed,GreatDane
GreatDane:GreatDane01,-0.0202,0.0197,0.0029,-0.0014,Breed,GreatDane
GreatPyrenees:GreatPyrenees01,-0.0158,0.008,-0.0008,0.007,Breed,GreatPyrenees
GreenlandDog:GreenlandDog01,0.0604,-0.142,0.1419,-0.1998,Breed,GreenlandDog
Greyhound:Greyhound02,-0.0215,0.0226,0.0021,-0.0007,Breed,Greyhound
Greyhound:Greyhound03,-0.0212,0.0224,0.0031,-0.0019,Breed,Greyhound
Greyhound:Greyhound06,-0.0213,0.0228,0.0031,-0.0011,Breed,Greyhound
Greyhound:Greyhound08,-0.0206,0.0217,0.0038,-0.0016,Breed,Greyhound
Grossspitz:GS104,-0.0079,0.0004,0.009,0.0031,Breed,Grossspitz
Heideterrier:Heideterrier01,-0.0207,0.0222,0.0027,-0.0017,Breed,Heideterrier
Hovawart:HW1706,-0.0186,0.0176,0.0019,-0.0017,Breed,Hovawart
IndiaVillage:VillDog_India01,0.0119,-0.0591,-0.0325,0.023,Village,IndiaVillage
IndiaVillage:VillDog_India03,0.0096,-0.0466,-0.019,0.0197,Village,IndiaVillage
IndiaVillage:VillDog_India04,0.0326,-0.0991,-0.0457,0.0386,Village,IndiaVillage
IndiaVillage:VillDog_India05,0.0316,-0.0828,-0.0343,0.0299,Village,IndiaVillage
IrishSetter:IrishSetter01,-0.0197,0.0167,-0.0009,-0.0002,Breed,IrishSetter
IrishTerrier:CFA.117998,-0.0206,0.0215,0.0025,-0.0022,Breed,IrishTerrier
IrishTerrier:IrishTerrier01,-0.0199,0.019,0.0025,-0.0017,Breed,IrishTerrier
IrishWaterSpaniel:IhWaterSpan02,-0.0205,0.0195,0.0005,-0.0006,Breed,IrishWaterSpaniel
IrishWaterSpaniel:IWaterSpan01,-0.0204,0.0186,0.0004,-0.0019,Breed,IrishWaterSpaniel
IrishWaterSpaniel:IWaterSpan03,-0.0206,0.0208,0.0019,-0.0008,Breed,IrishWaterSpaniel
IrishWolfhound:IrishWolfhound01,-0.0198,0.0183,0.002,-0.001,Breed,IrishWolfhound
IstrianShorthairedHound:ISHHound01,-0.0165,0.0106,-0.0003,0.0017,Breed,IstrianShorthairedHound
ItalianGreyhound:ItalianGreyhound01,-0.0179,0.0142,-0.0009,0.0001,Breed,ItalianGreyhound
ItalianGreyhound:ItalianGreyhound02,-0.0184,0.0157,0.0005,-0.0005,Breed,ItalianGreyhound
JackRussellTerrier:JackRussellTer02,-0.0196,0.0173,0.0024,0.0003,Breed,JackRussellTerrier
JackRussellTerrier:JackRussellTer03,-0.0195,0.018,0.0004,0.0004,Breed,JackRussellTerrier
JackRussellTerrier:JackRussellTer04,-0.0199,0.0186,0.0028,-0.0007,Breed,JackRussellTerrier
JackRussellTerrier:JackRussellTer05,-0.0197,0.0181,0.0011,0.0002,Breed,JackRussellTerrier
Jamthund:Jamthund01,-0.011,0.0026,0.006,-0.0021,Breed,Jamthund
Jindo:Jindo01,0.1007,-0.1013,0.0715,0.1377,Breed,Jindo
Keeshond:Keeshond01,-0.0163,0.0112,0.0032,-0.0014,Breed,Keeshond
KerryBlueTerrier:KerryBlueTerrier02,-0.0198,0.019,0.0018,-0.0002,Breed,KerryBlueTerrier
Komondor:Komondor01,-0.0143,0.0046,-0.0023,0.0005,Breed,Komondor
Kromfohrlander:Kromfohrlander01,-0.0178,0.0143,0.0021,-0.001,Breed,Kromfohrlander
Kuri:MS11669,0.207,0.0369,-0.0088,0.0368,Kuri,Kuri
Kuri:MS11670,0.2089,0.0377,-0.0093,0.0351,Kuri,Kuri
